show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,has_director,has_country,date_added_parsed,year_added,month_added,day_added,day_of_week_added,is_weekend_add,duration_minutes,season_count,release_year_date,release_age_days,release_age_years,days_since_first_record,title_length,number_of_genres,number_of_countries
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,9/25/2021,2020,PG-13,90 min,Documentaries,True,True,2021-09-25,2021,9,25,5,True,90.0,,2020-01-01,633,1.73305954825462,5016,20,1,1
s3,TV Show,Ganglands,Julien Leclercq,France,9/24/2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",True,True,2021-09-24,2021,9,24,4,False,,1.0,2021-01-01,266,0.7282683093771389,5015,9,3,1
s6,TV Show,Midnight Mass,Mike Flanagan,United States,9/24/2021,2021,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries",True,True,2021-09-24,2021,9,24,4,False,,1.0,2021-01-01,266,0.7282683093771389,5015,13,3,1
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,9/22/2021,2021,TV-PG,91 min,"Children & Family Movies, Comedies",True,True,2021-09-22,2021,9,22,2,False,91.0,,2021-01-01,264,0.7227926078028748,5013,32,2,1
s8,Movie,Sankofa,Haile Gerima,United States,9/24/2021,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies",True,True,2021-09-24,2021,9,24,4,False,125.0,,1993-01-01,10493,28.72826830937714,5015,7,3,1
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,9/24/2021,2021,TV-14,9 Seasons,"British TV Shows, Reality TV",True,True,2021-09-24,2021,9,24,4,False,,9.0,2021-01-01,266,0.7282683093771389,5015,29,2,1
s10,Movie,The Starling,Theodore Melfi,United States,9/24/2021,2021,PG-13,104 min,"Comedies, Dramas",True,True,2021-09-24,2021,9,24,4,False,104.0,,2021-01-01,266,0.7282683093771389,5015,12,2,1
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,5/1/2021,2019,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals",True,True,2021-05-01,2021,5,1,5,True,87.0,,2019-01-01,851,2.329911019849418,4869,31,3,1
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,9/23/2021,2021,TV-MA,127 min,"Dramas, International Movies",True,True,2021-09-23,2021,9,23,3,False,127.0,,2021-01-01,265,0.7255304585900069,5014,12,2,1
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,5/1/2021,2013,TV-Y7,76 min,"Children & Family Movies, Music & Musicals",True,True,2021-05-01,2021,5,1,5,True,76.0,,2013-01-01,3042,8.328542094455852,4869,24,2,1
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,5/1/2021,2014,TV-Y7,76 min,"Children & Family Movies, Comedies",True,True,2021-05-01,2021,5,1,5,True,76.0,,2014-01-01,2677,7.329226557152635,4869,30,2,1
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,5/1/2021,2013,TV-Y7,71 min,"Children & Family Movies, Comedies",True,True,2021-05-01,2021,5,1,5,True,71.0,,2013-01-01,3042,8.328542094455852,4869,24,2,1
s852,Movie,99 Songs (Tamil),Not Given,Pakistan,5/21/2021,2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals",True,True,2021-05-21,2021,5,21,4,False,131.0,,2021-01-01,140,0.38329911019849416,4889,16,3,1
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,7/13/2021,2021,TV-14,39 min,Movies,True,True,2021-07-13,2021,7,13,1,False,39.0,,2021-01-01,193,0.5284052019164955,4942,27,1,1
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,6/12/2021,2021,TV-MA,36 min,Movies,True,True,2021-06-12,2021,6,12,5,True,36.0,,2021-01-01,162,0.44353182751540043,4911,29,1,1
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,6/12/2021,2021,TV-MA,34 min,Movies,True,True,2021-06-12,2021,6,12,5,True,34.0,,2021-01-01,162,0.44353182751540043,4911,26,1,1
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,5/7/2021,2021,TV-14,35 min,Comedies,True,True,2021-05-07,2021,5,7,4,False,35.0,,2021-01-01,126,0.34496919917864477,4875,27,1,1
s4,TV Show,Jailbirds New Orleans,Not Given,Pakistan,9/24/2021,2021,TV-MA,1 Season,"Docuseries, Reality TV",True,True,2021-09-24,2021,9,24,4,False,,1.0,2021-01-01,266,0.7282683093771389,5015,21,2,1
s15,TV Show,Crime Stories: India Detectives,Not Given,Pakistan,9/22/2021,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",True,True,2021-09-22,2021,9,22,2,False,,1.0,2021-01-01,264,0.7227926078028748,5013,31,3,1
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,11/26/2019,2019,TV-Y,46 min,Children & Family Movies,True,True,2019-11-26,2019,11,26,1,False,46.0,,2019-01-01,329,0.9007529089664613,4347,19,1,1
