,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (observed),Independence Day (observed)_lower,Independence Day (observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Thanksgiving Day,Thanksgiving Day_lower,Thanksgiving Day_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (observed),Veterans Day (observed)_lower,Veterans Day (observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2008-01-31,-0.3364146794,-10.767630274624384,18.580765577412933,-0.3364146794,-0.3364146794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7177250343530677,3.7177250343530677,3.7177250343530677,0.0,0.0,0.0,3.7177250343530677,3.7177250343530677,3.7177250343530677,0.0,0.0,0.0,3.381310354953068
1,2008-02-29,-0.3111374563731628,-17.77988964197498,12.766367007831978,-0.3111374563731628,-0.3111374563731628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8098880462125067,-2.8098880462125067,-2.8098880462125067,0.0,0.0,0.0,-2.8098880462125067,-2.8098880462125067,-2.8098880462125067,0.0,0.0,0.0,-3.1210255025856695
2,2008-03-31,-0.284116976585854,-10.141119476739604,19.979050689503655,-0.284116976585854,-0.284116976585854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.136873458348116,5.136873458348116,5.136873458348116,0.0,0.0,0.0,5.136873458348116,5.136873458348116,5.136873458348116,0.0,0.0,0.0,4.852756481762262
3,2008-04-30,-0.25796812517878104,-15.629878165561077,12.499275593791275,-0.25796812517878104,-0.25796812517878104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3000825770220314,-1.3000825770220314,-1.3000825770220314,0.0,0.0,0.0,-1.3000825770220314,-1.3000825770220314,-1.3000825770220314,0.0,0.0,0.0,-1.5580507022008125
4,2008-05-31,-0.23094764539147233,-20.982012685482573,8.644659519581646,-0.23094764539147233,-0.23094764539147233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.154065146377053,-6.154065146377053,-6.154065146377053,0.0,0.0,0.0,-6.154065146377053,-6.154065146377053,-6.154065146377053,0.0,0.0,0.0,-6.385012791768525
5,2008-06-30,-0.2047987947714365,-21.48999403222635,8.243195094827133,-0.2047987947714365,-0.2047987947714365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.337519031259995,-6.337519031259995,-6.337519031259995,0.0,0.0,0.0,-6.337519031259995,-6.337519031259995,-6.337519031259995,0.0,0.0,0.0,-6.542317826031431
6,2008-07-31,-0.17777831579739956,-19.115851230079,10.510828993501498,-0.17777831579739956,-0.17777831579739956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.176660471815809,-4.176660471815809,-4.176660471815809,0.0,0.0,0.0,-4.176660471815809,-4.176660471815809,-4.176660471815809,0.0,0.0,0.0,-4.3544387876132085
7,2008-08-31,-0.15075783682336258,-14.392744493134543,14.913837391187295,-0.15075783682336258,-0.15075783682336258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2634289353026155,0.2634289353026155,0.2634289353026155,0.0,0.0,0.0,0.2634289353026155,0.2634289353026155,0.2634289353026155,0.0,0.0,0.0,0.11267109847925294
8,2008-09-30,-0.12460898620332672,-15.568059286331776,13.112495749262525,-0.12460898620332672,-0.12460898620332672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5846379620209645,-0.5846379620209645,-0.5846379620209645,0.0,0.0,0.0,-0.5846379620209645,-0.5846379620209645,-0.5846379620209645,0.0,0.0,0.0,-0.7092469482242912
9,2008-10-31,-0.09758853177437128,-11.474716720725086,16.44417321826293,-0.09758853177437128,-0.09758853177437128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.293555199363422,3.293555199363422,3.293555199363422,0.0,0.0,0.0,3.293555199363422,3.293555199363422,3.293555199363422,0.0,0.0,0.0,3.1959666675890506
10,2008-11-30,-0.07143970490764018,-20.677371503085563,8.685969517437583,-0.07143970490764018,-0.07143970490764018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.04962779594903,-5.04962779594903,-5.04962779594903,0.0,0.0,0.0,-5.04962779594903,-5.04962779594903,-5.04962779594903,0.0,0.0,0.0,-5.121067500856671
11,2008-12-31,-0.044419250478684745,-7.564817151899535,22.864047390810857,-0.044419250478684745,-0.044419250478684745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.115437228735875,8.115437228735875,8.115437228735875,0.0,0.0,0.0,8.115437228735875,8.115437228735875,8.115437228735875,0.0,0.0,0.0,8.07101797825719
12,2009-01-31,-0.017398796049729305,-13.89298895647794,16.504816231096807,-0.017398796049729305,-0.017398796049729305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2580818022708118,1.2580818022708118,1.2580818022708118,0.0,0.0,0.0,1.2580818022708118,1.2580818022708118,1.2580818022708118,0.0,0.0,0.0,1.2406830062210825
13,2009-02-28,0.007006775612700918,-17.736445518466276,11.29234745004653,0.007006775612700918,0.007006775612700918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.452474237713698,-3.452474237713698,-3.452474237713698,0.0,0.0,0.0,-3.452474237713698,-3.452474237713698,-3.452474237713698,0.0,0.0,0.0,-3.4454674621009973
14,2009-03-31,0.034027229953248646,-8.25535152060488,21.82300880223173,0.034027229953248646,0.034027229953248646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.457913720787649,6.457913720787649,6.457913720787649,0.0,0.0,0.0,6.457913720787649,6.457913720787649,6.457913720787649,0.0,0.0,0.0,6.491940950740897
15,2009-04-30,0.06017605673442382,-17.81105133683063,12.732860734806733,0.06017605673442382,0.06017605673442382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6397268888586232,-1.6397268888586232,-1.6397268888586232,0.0,0.0,0.0,-1.6397268888586232,-1.6397268888586232,-1.6397268888586232,0.0,0.0,0.0,-1.5795508321241993
